o_diabetes_quantity_per_capita,o_opioids_quantity_per_capita,o_OME_per_capita,o_total_quantity_per_capita,o_asthma_quantity_per_capita,o_hypertension_quantity_per_capita,o_depression_quantity_per_capita,o_anxiety_quantity_per_capita
0.8349581013726464,0.129840349621716,1.134301824175908,2.626636225715688,0.1396737468087273,1.0474044594669467,0.3496202989756107,0.4782789869638055
0.9579870736134272,0.2760664166552019,2.587085484794513,3.002415249059514,0.203467586116714,1.341916241693342,0.5149073401949701,0.7577930554984562
1.532698380752439,0.5926612595028424,5.072608034122685,3.607429006801503,0.3619562524661555,2.189897422256027,0.9790023681314004,1.3912620526544943
0.9187723018247852,0.250619184259124,2.218236363192597,3.2051000027111085,0.3592286827086702,1.4477323464652594,1.559359911347361,1.842563260295415
33.98696690117146,4.9827232181183305,191.2024860290373,6.30122498542654,5.155321674050071,36.45686900309156,7.325502824959852,11.725342507907287
34.71407190146551,4.215028344088639,70.51817105582168,6.195690120056341,5.308562833539943,35.29160110980275,6.826250572884471,11.19690296935756
38.969993893813765,4.341367686154074,63.08252348196864,6.24999161659992,6.020123978159091,39.211323431549125,7.306436221374011,12.055398648403772
28.14460734319021,3.664535952011698,91.46498327524596,6.076470762393336,4.176029854433991,29.334369845898813,5.765336334401884,9.401895060525876
41.90361931576966,4.625035285609793,79.5268175442057,6.412212932492381,6.011479342597737,41.737054772839215,8.080275144433642,13.298672037858932
37.313973320187074,4.226159126252804,55.225887979025536,6.276530158733813,5.669630840963239,37.52905407762236,7.171263071574518,11.925557095082862
30.44801039343414,8.249943251815141,73.73556055589782,6.4637102030181,6.455289424319044,45.522639455664745,12.06284419233226,17.449157604994173
29.746676422299608,8.495693342340934,75.64949558242999,6.490322060560743,6.528710537256368,45.66924932520541,12.6391831857032,18.58102846012446
46.07160355216274,11.02190584521411,95.7660206128218,6.72228115651983,9.13524632563728,68.65988163886311,16.087593757780436,22.611634334138643
35.91081468378369,9.559836175389425,80.39076046714334,6.561004308044841,7.617590169882769,54.84740376477622,14.081808903255514,19.8924904147288
29.921711238612687,8.184088916010571,69.54372285035264,6.410369785803809,6.237218748642077,45.75426026882386,12.248953141256152,17.577327443128794
37.39448621354397,9.484960205053817,82.0771304088995,6.5782054199146485,7.763866934742197,56.823121926188456,13.963569542800675,19.77686863295573
60.2280922587774,17.9142598835227,159.4524404158544,7.132883723889584,13.48736414691473,84.35515376904972,21.54336008285197,33.65580997707372
58.47535923410016,18.864657476654227,168.86361397501574,7.139271718321383,13.388603074575792,83.3920482926864,22.491919573366506,34.630835484913405
48.54724626248576,13.870974387421908,130.56179727962223,6.7906326213942245,11.914573284050034,66.9215669603393,15.441193405676431,25.003670385722145
53.584041200397614,17.222868833904748,157.03840682156724,7.0008149177010575,13.07507760122042,77.2715782322576,20.394563235836888,31.57436929795779
47.22468934162143,16.099043761378653,151.97721473003762,6.843793545575875,12.378886998827722,70.13483291100204,18.750620303413207,28.994592141973907
42.25202620598969,14.472565222818352,139.9507988532022,6.735248301412756,11.526827469585294,64.34562891920633,18.825833190120623,28.587689681728563
53.30545111618848,21.61608864459237,265.1679774993706,6.928867902683516,11.523454892880636,80.24627687363191,23.40127136574335,37.02402754769351
53.66752277705169,20.42977582610005,256.49874796781165,6.901414312415726,11.191828533432732,77.12928193892986,22.122816084272888,35.4789184797079
57.529543402131495,17.379698525625184,196.9770359673737,7.017093481083,12.038435726049446,84.64447916252419,22.35820145472137,34.028515313140694
51.70507823709821,21.12138510147389,259.5878264871165,6.884134305806936,11.121488095585107,77.07232556877639,22.550830474338188,36.004172180442886
56.73505252141042,16.15317444793015,174.34445856678312,7.004948499649883,12.421925113121729,89.5139662057818,23.627944965232945,34.400647237123586
58.23577454237139,16.415866330192912,175.37460958214518,7.055346790243372,12.510039404525903,88.9602252488819,23.149836619214145,34.07840781878759
50.58171084079015,14.881821732697526,126.80275430905506,6.976156173365889,11.234934655544926,81.38627334829724,22.41844766624888,31.16509913118789
54.53266006081945,14.180837909579942,132.31124089177257,6.967460812399917,11.066690603785256,85.54331987633351,22.531079341447125,31.56220237224727
54.05810788175916,13.08900607679713,108.64508783256204,6.828687859338478,10.408776177440036,78.31442838652943,17.33588889995772,25.001455505155462
60.18538319019381,13.679221537906743,114.07267901442526,6.847306351908193,11.735562641542764,88.37660390050307,17.379654711962495,24.860245238426124
59.93484272486551,14.266564008071004,180.62817701514365,7.0283187069565,10.760456917024523,93.57608129339955,23.06000093860027,32.38269727074806
58.86002012763413,14.02115298888169,154.20089889539798,7.014782082320783,10.464994847095928,90.9118660909828,22.68835683379071,31.86080720937532
62.58490065794706,13.899558216998765,150.74012267567645,7.033611846110602,11.055402781189605,96.41907770236126,23.41753767782317,32.911153453729746
22.27223351425463,4.9971678555331644,139.94621564597145,6.002145248370828,4.1127875827089175,27.2170638974299,6.586393129822048,10.145989106655266
38.81453376102457,12.997875002482555,121.1665276185803,6.859187755823968,8.482207769553504,66.447996320584,17.985440586617,26.47911915637606
30.7156299377284,7.350068433006274,197.9727160433489,6.362253614076265,5.843366017654072,39.22610999353101,10.02424878341605,15.251078809564396
23.367619532436485,5.253400228300658,142.6429291888073,6.07038762529421,4.261064304150772,28.6028669833272,6.948357461930112,10.73550808832603
10.153376501660356,2.019167295320065,40.6359793428172,5.1783636716104695,1.7609384785714235,11.857155615121002,2.627963815567832,4.174581347644597
40.834728355288114,11.0247314981921,117.21712329048276,6.829513053687466,9.38743006438901,67.88669722433268,19.049723389470312,28.14760098438578
